sheet_id,image_file,accuracy,final_marks,correct,wrong,section_1_accuracy,section_2_accuracy,section_3_accuracy
3,3.jpg,100.0,30.0,30,0,100.0,100.0,100.0
4,4.jpg,96.67,29.0,29,1,100.0,100.0,90.0
